Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
TCGA-2J-AAB1-01,0.013211917,0.010149466,0.021625663,0.061374146,0,0.251580686,0,0.010016776,0.02793727,0,0.028120378,0,0.058414337,0.063298308,0.079858992,0.209062765,0.010945606,0.049124758,0.067600843,0,0,0,0,0.667034833,0.784579148,0.96232191
TCGA-2J-AAB4-01,5.14E-05,0.000571754,0.070381751,0.066493035,0,0.169288017,0,0.017206772,0.052702052,0,0.017701346,0.013953454,0.052266372,0.096121056,0.045041559,0.22293474,0.013561282,0.022252912,0.049037175,0,0,0,0,0.618621741,0.813600431,0.909564715
TCGA-2J-AAB6-01,0.002505257,0,0.012427556,0,0,0.106204723,0,0.02866169,0.016567997,0,0,0.012213653,0.018777384,0.214362631,0.0179447,0.247713241,0,0.015460489,0.043490503,0,0,0.004749512,0,0.698252453,0.73684477,0.741079336
TCGA-2J-AAB8-01,0.053422801,0,0.053434047,0.037812362,0,0.129065277,0,0.038575973,0.02161148,0,0.000683613,0.007570364,0,0.135074317,0.017627231,0.221643909,0.004542659,0.03002178,0.022235802,0,0,0.005053098,0,0.668910797,0.779489095,0.778374711
TCGA-2J-AAB9-01,0.016941698,0.005762401,0.032888433,0.052669583,0,0.131255415,0,0.021759177,0.054952013,0,0.008457068,0.022532159,0.027025478,0.090439703,0.019194068,0.243046739,0.023091888,0.000962735,0.070191766,0,0,0.00474957,0,0.68653803,0.775545747,0.825919894
TCGA-2J-AABA-01,0.088424921,0,0.079680234,0.056686659,0,0.212565364,0,0.01405873,0.042439443,0,9.16E-05,0,8.60E-05,0.090525091,0.004455855,0.153180693,0,0.020807359,0.053594477,0,0,0,0,0.55101414,0.847418627,0.816596392
TCGA-2J-AABE-01,0.007237611,0.031024743,0.063384434,0.011093039,0,0.109947178,0,0.009509108,0.030484368,0,0.024366111,0,0.097787812,0.252814951,0.001953216,0.185259373,0.022273285,0.026350823,0.027901167,0.001723584,0.003964761,0.004847692,0,0.712865199,0.743716995,0.911923259
TCGA-2J-AABF-01,0.020103389,0.00620133,0.048263171,0.08640958,0,0.166651805,0,0.02048597,0.057384515,0,0.005715931,0.019378854,0.054947892,0.139172331,0.074565917,0.326288672,0.027383441,0.005798311,0.055170604,0,0,0.029847409,0,0.777696018,0.719231593,1.143769123
TCGA-2J-AABH-01,0.00275111,0.015770143,0.037145892,0.012054623,0,0.096665979,0,0.003873354,0.029526237,0,0.008210508,0.010862824,0.005069796,0.161256426,0.01851469,0.249829791,0.019331259,0,0.040436573,0,0,0.017138016,0,0.550385011,0.837521115,0.728437221
TCGA-2J-AABI-01,0.225569071,0,0.003967504,0.04260357,0,0.08549114,0,0.055671535,0.109928042,0,0,0.020632151,0.011733583,0.244400681,0.021354624,0.210590117,0,0.040832013,0.024122728,0,0,0,0,0.58268307,0.823037336,1.096896757
TCGA-2J-AABK-01,0.046063543,0,0.087864116,0.050338105,0,0.134977604,0,0.040535231,0.005736863,0,0.014859168,0,0.00390671,0.092995158,0.029572937,0.199541143,0,0.009261293,0.022622437,0.009006171,0,0,0,0.554224047,0.845014769,0.747280479
