Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
ICGC_0006,0.120901075,0,0.001558939,0.075238125,0.087148261,0.021103558,0.005331558,0.142734203,0,0.087075792,0,0.018411308,0.051467323,0,0.029732353,0.19726766,0.050736706,0.016671244,0.381861449,0,0.075492295,0,0,0.448216958,0.894862949,1.362731848
ICGC_0007,0.135036846,0,0.014892562,0.255214471,0.156401908,0,0.04039729,0.03036942,0,0,0,0.09550665,0.022797005,0.004801231,0.042968169,0.161707965,0.093875651,0,0.393537565,0,0.009944545,0.003560782,0,0.490792041,0.873818951,1.461012062
ICGC_0009,0.17535283,0,0,0.377829814,0.127657397,0,0,0.096196344,0.035650789,0,0,0.132165005,0.068550097,0.251336757,0.032784308,0.873845462,0,0,1.027280637,0,0,0,0,0.384630269,0.924037795,3.198649437
ICGC_0075,0,0.106336223,0,0.152556368,0.087701531,0.08760627,0,0,0.021640137,0,0,0.071430056,0,0.467868669,0.0088001,0.108724586,0.005549548,0,0.310221026,0,0,0,0,0.497211961,0.868154443,1.428434513
ICGC_0354,0.007457119,0.016138043,0,0.250739707,0.135368504,0,0,0.01132522,0.011453728,0,0,0.094784279,0.016021734,0.067649877,0,0,0.055483375,0.011228082,0.466659098,0,0,0,0,0.383625777,0.930793383,1.144308767
ICGC_0020,0.081704805,0,0.009979039,0.116167524,0.0913271,0,0,0,0.054938388,0,0,0.059868836,0.000394406,0.66863023,0.027577609,0.123172379,0.014284711,0,0.430935889,0,0,0,0,0.714348734,0.73152355,1.678980916
ICGC_0021,0.032095042,0.011423251,0,0.199843181,0,0.025116116,0,0.030518208,0.057569636,0,0,0.06943657,0.082309534,0.191882254,0.02464727,0.517416098,0.13306739,0,0.390991146,0,0.049090941,0.006978307,0,0.500059404,0.8700393,1.822384944
ICGC_0025,0.25965692,0,0.01125211,0.164193991,0.026927673,0,0.016132712,0.019908459,0.112211212,0,0,0.044698013,0.004635204,0.150901519,0.056794187,0.199520521,0.039003074,0.000572244,0.370061611,0,0,0.005618479,0,0.408975365,0.911716861,1.482087929
ICGC_0026,0,0.056985943,0,0.319357154,0.091602051,0,0,0,0.029651821,0,0,0.127558237,0.03114628,0.128342638,0.005126567,0.057701639,0.067513856,0,0.459096278,0,0.003594694,0.001574029,0,0.448503998,0.893389459,1.379251186
ICGC_0031,0.042488595,0,0.006219722,0.221178125,0,0.032775439,0,0,0.084170606,0,0,0.098421477,0.075297844,0.135542636,0.03035681,0.232793001,0.114021983,0,0.567910095,0,0.042858085,0.093302736,0,0.325961436,0.949192008,1.777337155
ICGC_0033,0.034979739,0,0,0.227339333,0.254357931,0.046712296,0.003207221,0,0,0,0,0.076791974,0.047092853,0.013510198,0.030555042,0.055471934,0.053397815,0,0.352504527,0,0.034413335,0,0,0.382263191,0.926513953,1.230334196
ICGC_0037,0.013023296,0.009834569,0.022209696,0.117796439,0.241714336,0,0,0,0.078240458,0,0.060181083,0.053246892,0.016339802,0.177639468,0.050349878,0.155166441,0.052075543,0,0.424193794,0.087905222,0,0,0,0.471655588,0.882206094,1.559916917
ICGC_0087,0,0.032181122,0.004981602,0.252733192,0.064710052,0.029274331,0,0,0.052076262,0,0,0.103408896,0.025007712,0.069949586,0.024957906,0.048541037,0.044269636,0,0.450697448,0,0.066457472,0,0,0.409428441,0.913158594,1.269246255
ICGC_0088,0.030530335,0.024507313,0,0.072154541,0.184746397,0,0,0.039372948,0,0,0,0.024962615,0.040258771,0.478890576,0.007056993,0.076330398,0.003528855,0,0.386162419,0,0.008093935,0,0,0.613326837,0.801565927,1.376596094
ICGC_0048,0,0.073513586,0.018476923,0.210582516,0.006614226,0.084754347,0,0,0.047495942,0,0,0.088777158,0.01466809,0.126234191,0.033762194,0.211372716,0.089331034,0,0.430593659,0,0,0,0,0.378054198,0.925978118,1.436176582
ICGC_0391,0.079454856,0,0,0.31532606,0.164288825,0,0,0.033602199,0.083713328,0,0,0.150915812,0.029085201,0.039708701,0.076134013,0.160585613,0.02513959,0,0.342228309,0,0.05030022,0,0,0.398435625,0.917127545,1.550482728
ICGC_0051,0.055682909,0,0,0.367010707,0.061761976,0,0,0,0.046690343,0,0,0.077636132,0.025416867,0.191040093,0.032229631,0.235905446,0.009606953,0,0.45844389,0,0,0,0,0.413496825,0.91012211,1.561424947
ICGC_0052,0.086839892,0,0,0.29556811,0.130279958,0,0,0,0,0,0,0.158574984,0.040308391,0.017079226,0.002343443,0.03980037,0.02431468,0.001546752,0.367657572,0,0.014255319,0,0,0.429931401,0.904777357,1.178568698
ICGC_0053,0.059284543,0,0.01173886,0.282002155,0.077324101,0.037393638,0,0,0.017850319,0,0,0.122749607,0.029106647,0.105588378,0.029319001,0.081599194,0.064401423,0,0.483065585,0,0,0,0,0.343471669,0.945021796,1.401423452
ICGC_0054,0.073283309,0,0,0.207351521,0.083968093,0,0,0.030162391,0.065641591,0,0,0.108623929,0.046607029,0.164963865,0.033487195,0,0.093512449,0,0.430522292,0,0.018469783,0,0,0.432236628,0.901202982,1.356593446
ICGC_0055,0.022758823,0,0,0.454623098,0.02602465,0,0,0,0.020158469,0,0,0.123110906,0.041068473,0.073003167,0.016195798,0.152350563,0.033779765,0,0.456490046,0,0.011625212,0,0,0.394577862,0.92133517,1.431188972
ICGC_0059,0.157114848,0,0,0.263843197,0.076255977,0,0,0.008727971,0.077913211,0,0,0.156352412,0.021387444,0.034129364,0.019645121,0.053311148,0.019194805,0,0.336798874,0,0,0,0,0.37712271,0.93100852,1.224674373
ICGC_0061,0.161225923,0,0,0.229180039,0.203908762,0,0.094678791,0,0.072963795,0,0.082182618,0.02984576,0.025837333,0.081602592,0.106666416,0.384327906,0.051289396,0,0.463624726,0,0.008272133,0.006086539,0,0.323799207,0.947567123,2.001692729
ICGC_0099,0.229885397,0,0.011392545,0.205306727,0.03001743,0,0.004932104,0.020444991,0.054813813,0,0,0.055776583,0.167411045,0.050563248,0.014836289,0.208747774,0.069857462,0.001034094,0.425473257,0,0.020089208,0,0,0.413832039,0.909872039,1.570581969
